image,name,author,format,book_depository_stars,price,currency,old_price,isbn,category,img_paths
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/4087/9781408711705.jpg,Fantastic Beasts: The Crimes of Grindelwald - The Original Screenplay,J.K. Rowling,Hardback,4.0,15.14,$,18.0,9781408711705,Entertainment,dataset/Entertainment/0000002.jpg
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/7475/9780747568766.jpg,Just Kids,Patti Smith,Paperback,4.0,9.43,$,12.4,9780747568766,Entertainment,dataset/Entertainment/0000003.jpg
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/4711/9781471157790.jpg,Born to Run,Bruce Springsteen,Hardback,4.0,27.12,$,,9781471157790,Entertainment,dataset/Entertainment/0000004.jpg
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/8609/9781860969423.jpg,"Music Theory in Practice, Grade 1",Eric Taylor,Sheet music,4.0,7.26,$,,9781860969423,Entertainment,dataset/Entertainment/0000005.jpg
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/7515/9780751535662.jpg,Scar Tissue,Anthony Kiedis,Paperback,4.0,10.66,$,13.9,9780751535662,Entertainment,dataset/Entertainment/0000006.jpg
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/8771/9780877180128.jpg,John Thompson's Easiest Piano Course,John Thompson,Paperback,4.0,6.71,$,8.0,9780877180128,Entertainment,dataset/Entertainment/0000007.jpg
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/7515/9780751574951.jpg,Fantastic Beasts and Where to Find Them,J. K. Rowling,Paperback,4.5,7.10,$,10.5,9780751574951,Entertainment,dataset/Entertainment/0000008.jpg
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/7850/9781785031168.jpg,Ottolenghi SIMPLE,Yotam Ottolenghi,Hardback,4.5,28.6,$,31.5,9781785031168,Food-Drink,dataset/Food-Drink/0000001.jpg
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/7181/9780718187729.jpg,5 Ingredients - Quick & Easy Food,Jamie Oliver,Hardback,4.0,25.92,$,32.5,9780718187729,Food-Drink,dataset/Food-Drink/0000002.jpg
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/7181/9780718154776.jpg,Jamie's 30-Minute Meals,Jamie Oliver,Hardback,4.0,27.39,$,31.5,9780718154776,Food-Drink,dataset/Food-Drink/0000003.jpg
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/7181/9780718157807.jpg,Jamie's 15-Minute Meals,Jamie Oliver,Hardback,4.0,27.3,$,31.5,9780718157807,Food-Drink,dataset/Food-Drink/0000004.jpg
